Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"byte[0]",94,931,837,"890.43%",0.003471837488457987,0.03463155153814679,0.0311597140496888,"897.5%"
"public static void org.elasticsearch.test.ElasticsearchTestCase.setContentType() throws java.lang.Exception",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoBoundingBoxFilter5() throws java.io.IOException",109,123,14,"12.84%",0.004025854108956602,0.004575382211806718,0.0005495281028501161,"13.65%"
"public static void org.elasticsearch.test.ElasticsearchTestCase.setDefaultExceptionHandler() throws java.lang.Exception",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public void org.apache.lucene.util.LuceneTestCase.assertStoredFieldsEquals(java.lang.String|org.apache.lucene.index.IndexReader|org.apache.lucene.index.IndexReader) throws java.io.IOException",126,119,-7,"-5.56%",0.004653739612188366,0.004426589294349589,-0.00022715031783877675,"-4.88%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testBooleanParsesFilter() throws java.lang.Exception",94,103,9,"9.57%",0.003471837488457987,0.0038314176245210726,0.0003595801360630857,"10.36%"
"public void org.apache.lucene.util.LuceneTestCase.assertReaderEquals(java.lang.String|org.apache.lucene.index.IndexReader|org.apache.lucene.index.IndexReader) throws java.io.IOException",104,95,-9,"-8.65%",0.0038411819021237303,0.0035338317896068147,-0.00030735011251691556,"-8.0%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoBoundingBoxFilter4() throws java.io.IOException",113,116,3,"2.65%",0.0041735918744228995,0.004314994606256742,0.00014140273183384233,"3.39%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoBoundingBoxFilter1() throws java.io.IOException",113,109,-4,"-3.54%",0.0041735918744228995,0.004054607000706766,-0.00011898487371613323,"-2.85%"
"public static final boolean org.apache.lucene.util.LuceneTestCase.LEAVE_TEMPORARY",1,1,0,"0.0%",3.6934441366574334e-05,3.719822936428226e-05,2.6378799770792504e-07,"0.71%"
"public void org.elasticsearch.index.query.SimpleIndexQueryParserTests.testGeoBoundingBoxFilter6() throws java.io.IOException",95,97,2,"2.11%",0.0035087719298245615,0.0036082282483353794,9.945631851081792e-05,"2.83%"
